record_id,result_rank,title,authors,year,doi,url,duplicate_of,deduplication_decision,title_abstract_decision,full_text_decision,exclusion_reason,final_status,primary_selection_group,full_text_inclusion_reason,selection_boundary,scope_exception,selection_evidence_source,notes
R19,,Class Incremental Learning for Network-Agnostic Intrusion Detection Systems,"Cerasuolo, Francesco and Bovenzi, Giampaolo and Montieri, Antonio and Pescapè, Antonio",2025,10.1109/RTSI64020.2025.11212335,https://doi.org/10.1109/RTSI64020.2025.11212335,,retained,include,include,,included_empirical,deployment adaptation or realism,"Tests class-incremental, network-agnostic NIDS adaptation when benign traffic changes across IoT network environments.",The model updates after deployment and therefore does not represent fixed source-only generalization.,,paper_text/R19.txt,Original per-source assignment and result rank were not retained
R20,,Toward Open-World Network Intrusion Detection via Open Recognition and Inspection,"Du, Lei and Chai, Yuhan and Jia, Yan and Fang, Binxing and Li, Hao and Gu, Zhaoquan",2025,10.1109/TIFS.2025.3608666,https://doi.org/10.1109/TIFS.2025.3608666,,retained,include,include,,included_empirical,open-set recognition,Extends unknown-sample recognition with constrained-clustering inspection to support analyst follow-up after unknown traffic is detected.,"Its value is open-world handling and inspection, not cross-dataset reliability.",,paper_text/R20.txt,Original per-source assignment and result rank were not retained
R21,,Multi-source refined adversarial domain adaptation with transfer complementarity infusion for IoT intrusion detection under limited samples,"Li, Kehong and Ma, Wengang and Duan, Huawei and Xie, Han",2024,10.1016/j.eswa.2024.124352,https://doi.org/10.1016/j.eswa.2024.124352,,retained,include,include,,included_empirical,cross-dataset generalization,Evaluates multi-source adversarial domain adaptation and category-level alignment for limited-sample IoT intrusion detection.,It relies on source-target adaptation and limited target samples rather than source-only evaluation.,,paper_text/R21.txt,Original per-source assignment and result rank were not retained
R22,,Wasserstein distance guided feature Tokenizer transformer domain adaptation for network intrusion detection,"Zhang, Hongpo and Zhang, Zhaozhe and Huang, Haizhaoyang and Yang, Hehe",2025,10.1016/j.cose.2025.104562,https://doi.org/10.1016/j.cose.2025.104562,,retained,include,include,,included_empirical,cross-dataset generalization,Evaluates Wasserstein-guided Transformer domain adaptation across multiple NetFlow datasets and many source-target transfer tasks.,"It uses unlabeled target data and pseudo-labeling, so it must not be conflated with source-only cross-dataset generalization.",,paper_text/R22.txt,Original per-source assignment and result rank were not retained
R24,,A Cross-Domain Intrusion Detection Method Based on Nonlinear Augmented Explicit Features,"Yu, Xu and Lu, Yan and Jiang, Feng and Hu, Qiang and Du, Junwei and Gong, Dunwei",2025,10.1109/TNSM.2024.3444909,https://doi.org/10.1109/TNSM.2024.3444909,,retained,include,include,,included_empirical,cross-dataset generalization,"Aligns heterogeneous source and target feature spaces with explicit feature re-encoding, MMD, and a Transformer ensemble for cross-domain NIDS.","Target-specific feature harmonization and alignment are part of the method, so this is domain adaptation rather than unseen-target deployment.",,paper_text/R24.txt,Original per-source assignment and result rank were not retained
R25,,nNFST: A single-model approach for multiclass novelty detection in network intrusion detection systems,"Nguyen, Xuan-Ha and Le, Kim-Hung",2025,10.1016/j.jnca.2025.104128,https://doi.org/10.1016/j.jnca.2025.104128,,retained,include,include,,included_empirical,open-set recognition,"Evaluates one model for known-class classification, novel-attack detection, and multiclass novelty detection.",The evidence comes from within-dataset novelty protocols and does not establish cross-network deployment robustness.,,paper_text/R25.txt,Original per-source assignment and result rank were not retained
R26,,Few-Shot Class-Incremental Learning for Network Intrusion Detection Systems,"Di Monda, Davide and Montieri, Antonio and Persico, Valerio and Voria, Pasquale and De Ieso, Matteo and Pescapè, Antonio",2024,10.1109/OJCOMS.2024.3481895,https://doi.org/10.1109/OJCOMS.2024.3481895,,retained,include,include,,included_empirical,deployment adaptation or realism,Studies few-shot class-incremental NIDS adaptation when newly observed attack classes become available with very limited labels.,It requires labeled new-class samples and is continual adaptation rather than open-set rejection.,,paper_text/R26.txt,Original per-source assignment and result rank were not retained
R27,,Federated transfer learning for rare attack class detection in network intrusion detection systems,"Sri Abhijit, Chunduru and Annie Jerusha, Y. and Syed Ibrahim, S. P. and Varadharajan, Vijay",2025,10.1038/s41598-025-02068-x,https://doi.org/10.1038/s41598-025-02068-x,,retained,include,include,,included_empirical,deployment adaptation or realism,Studies federated transfer of rare and newly observed attack knowledge among clients and rounds in distributed NIDS.,"The transfer occurs inside a federated ecosystem and is not a train-on-one-dataset, test-on-another benchmark.",,paper_text/R27.txt,Original per-source assignment and result rank were not retained
R28,,TICPS: A trustworthy collaborative intrusion detection framework for industrial cyber-physical systems,"Zhu, Lingzi and Zhao, Bo and Li, Weidong and Wang, Yixuan and An, Yang",2024,10.1016/j.adhoc.2024.103517,https://doi.org/10.1016/j.adhoc.2024.103517,,retained,include,include,,included_empirical,deployment adaptation or realism,Evaluates trustworthy collaborative industrial intrusion detection when federated participants are exposed to poisoning attacks.,"Trustworthiness concerns robust aggregation and training integrity, not probability calibration or per-prediction uncertainty.",,paper_text/R28.txt,Original per-source assignment and result rank were not retained
R29,,Scalable and Generalizable Cross-Domain Invariant Network Analysis and Intrusion Detection System Using Deep Learning,"Francis, George Thamer and Gashut, Abdulrahman and Alayedi, Mohanad and Malkawi, Malek",2026,10.1109/OJCOMS.2026.3677692,https://doi.org/10.1109/OJCOMS.2026.3677692,,retained,include,include,,included_empirical,deployment adaptation or realism,"Provides neural-model scalability and multi-dataset feature-stability evidence across CICIDS, MQTT, and ToN-IoT settings.","It does not perform a clean source-trained, target-tested transfer experiment or implement an invariant-learning penalty.",,paper_text/R29.txt,Original per-source assignment and result rank were not retained
R30,,Adaptive Semi-Supervised Algorithm for Intrusion Detection and Unknown Attack Identification,"Li, Meng and Luo, Lei and Xiao, Kun and Wang, Geng and Wang, Yintao",2025,10.3390/app15041709,https://doi.org/10.3390/app15041709,,retained,include,include,,included_empirical,open-set recognition,Uses normal-only semi-supervised deep anomaly detection to identify unknown attacks across benchmark and vehicle-network settings.,It is anomaly-based unknown-attack evidence rather than class-incremental learning or calibrated open-set classification.,,paper_text/R30.txt,Original per-source assignment and result rank were not retained
R31,,FedMSE: Semi-supervised federated learning approach for IoT network intrusion detection,"Nguyen, Van Tuan and Beuran, Razvan",2025,10.1016/j.cose.2025.104337,https://doi.org/10.1016/j.cose.2025.104337,,retained,include,include,,included_empirical,deployment adaptation or realism,"Evaluates semi-supervised federated deep anomaly detection under non-IID IoT data, partial gateway participation, and network-scale constraints.","It supports deployment realism but does not directly test cross-dataset transfer, open-set recognition, or calibration.",,paper_text/R31.txt,Original per-source assignment and result rank were not retained
R32,,Trustworthy Adaptive AI for Real-Time Intrusion Detection in Industrial IoT Security,"Al Rawajbeh, Mohammad and Maria Soosai, Amala Jayanthi and Ramasamy, Lakshmana Kumar and Khan, Firoz",2025,10.3390/iot6030053,https://doi.org/10.3390/iot6030053,,retained,include,include,,included_empirical,deployment adaptation or realism,"Evaluates online drift adaptation, SHAP-based explanations, and low-latency IIoT edge operation on Raspberry Pi hardware, with a deep hybrid comparator.",The primary adaptive ensemble uses lightweight online machine-learning models rather than a deep-learning-centered architecture.,primary_method_not_dl_centered,paper_text/R32.txt,Original per-source assignment and result rank were not retained
R33,,IDAC: Federated Learning-Based Intrusion Detection Using Autonomously Extracted Anomalies in IoT,"Ohtani, Takahiro and Yamamoto, Ryo and Ohzahata, Satoshi",2024,10.3390/s24103218,https://doi.org/10.3390/s24103218,,retained,include,include,,included_empirical,deployment adaptation or realism,Evaluates autonomous attack-candidate extraction and federated sharing across IoT networks to improve handling of emerging attacks.,The proposed IDAC detector is based on Online OC-SVM rather than deep learning and is retained only as deployment-support evidence.,primary_method_not_dl_centered,paper_text/R33.txt,Original per-source assignment and result rank were not retained
