source_record_id,result_rank,title,authors,year,doi,url,record_type,venue,notes,normalized_title,exact_doi_duplicate_group,normalized_title_duplicate_group,manual_version_duplicate_group,deduplication_status,deduplication_notes,deduplication_decision,deduplication_review_group,removed_source_record_ids,deduplication_confirmation_status
GS018,18,Transfer Learning with CNNs for Cross -Dataset Network Anomaly Detection in Heterogeneous Cybersecurity Environments,L Ridwan,2025,,https://www.researchgate.net/profile/Noora-Qahtani/publication/395924463_Transfer_Learning_with_CNNs_for_Cross-Dataset_Network_Anomaly_Detection_in_Heterogeneous_Cybersecurity_Environments/links/68d85bfeffdca73694b3cdb6/Transfer-Learning-with-CNNs-for-Cross-Dataset-Network-Anomaly-Detection-in-Heterogeneous-Cybersecurity-Environments.pdf,journal-article,,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; cited-by count displayed 0",transfer learning with cnns for cross dataset network anomaly detection in heterogeneous cybersecurity environments,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS019,19,CNN channel attention intrusion detection system using NSL-KDD dataset,"FS Alrayes, M Zakariah, SU Amin, ZI Khan…",2024,10.32604/cmc.2024.050586,https://www.sciopen.com/article/10.32604/cmc.2024.050586,journal-article,"Computers, Materials &…","Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 12119868755707069018; cited-by count displayed 55",cnn channel attention intrusion detection system using nsl kdd dataset,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS021,21,Learn-ids: Bridging gaps between datasets and learning-based network intrusion detection,"M Wang, N Yang, Y Guo, N Weng",2024,,https://www.mdpi.com/2079-9292/13/6/1072,journal-article,Electronics,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 882223374837489618; cited-by count displayed 20",learn ids bridging gaps between datasets and learning based network intrusion detection,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS024,24,Industrial network intrusion detection in open -set scenarios,"W Yu, Z Chen, H Wang, Z Miao, D Zhong",2025,10.1007/s10207-024-00949-2,https://link.springer.com/article/10.1007/s10207-024-00949-2,journal-article,International Journal of…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 16799010406434851936; cited-by count displayed 10",industrial network intrusion detection in open set scenarios,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS025,25,Open -set recognition in unknown DDoS attacks detection with reciprocal points learning,"CS Shieh, FA Ho, MF Horng, TT Nguyen…",2024,,https://ieeexplore.ieee.org/abstract/document/10497567/,journal-article,IEEE…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 11945536698514602836; cited-by count displayed 28",open set recognition in unknown ddos attacks detection with reciprocal points learning,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS026,27,A multi-agent adaptive deep learning framework for online intrusion detection,"M Soltani, K Khajavi, M Jafari Siavoshani, AH Jahangir",2024,10.1186/s42400-023-00199-0,https://link.springer.com/article/10.1186/s42400-023-00199-0,journal-article,Cybersecurity,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 10400680062227249784; cited-by count displayed 62",a multi agent adaptive deep learning framework for online intrusion detection,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS027,28,Enhanced Adversarial Domain Adaptation for Intrusion Detection Systems,"I Guerziz, Z Abou El Houda…",2025,,https://ieeexplore.ieee.org/abstract/document/11257501/,journal-article,,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 5385922138846194342; cited-by count displayed 2",enhanced adversarial domain adaptation for intrusion detection systems,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS028,29,A Semi-Supervised Meta-Negative-Learning Approach to Few-Shot Network Intrusion Detection in Internet of Things,"M Wu, Y Zheng, Y Yang, J Luo…",2026,10.1109/jiot.2026.3653672,https://ieeexplore.ieee.org/abstract/document/11348114/,journal-article,IEEE Internet of Things…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 230903981240873585; cited-by count displayed 1; verified IEEE publication date 2026-01-13",a semi supervised meta negative learning approach to few shot network intrusion detection in internet of things,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS029,30,Deep learning -based network intrusion detection systems: a systematic literature review,"LL Mutembei, MC Senekane, T van Zyl",2024,10.1007/978-3-031-78255-8_13,https://link.springer.com/chapter/10.1007/978-3-031-78255-8_13,book-chapter,Southern African Conference for…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 15919111538147613763; cited-by count displayed 6",deep learning based network intrusion detection systems a systematic literature review,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS030,31,Highly accurate anomaly based intrusion detection through integration of the local outlier factor and convolutional neural network,"R Rabih, H Vahdat-Nejad, W Mansoor, JH Joloudari",2025,10.1038/s41598-025-08175-z,https://www.nature.com/articles/s41598-025-08175-z,journal-article,Scientific Reports,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 18068152445532675798; cited-by count displayed 11",highly accurate anomaly based intrusion detection through integration of the local outlier factor and convolutional neural network,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS031,32,Machine learning and deep learning techniques for internet of things network anomaly detection —current research trends,"SH Rafique, A Abdallah, NS Musa, T Murugan",2024,,https://www.mdpi.com/1424-8220/24/6/1968,journal-article,Sensors,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 8129716881245510628; cited-by count displayed 199",machine learning and deep learning techniques for internet of things network anomaly detection current research trends,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS032,33,NIDS Neural Networks Using Sliding Time Window Data Processing with Trainable Activations and its Generalization Capability,"A Raskovalov, N Gabdullin, I Androsov",2024,10.48550/arXiv.2410.18658,https://arxiv.org/abs/2410.18658,posted-content,arXiv preprint arXiv:2410.18658,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 10550555234867374910; cited-by count displayed 1",nids neural networks using sliding time window data processing with trainable activations and its generalization capability,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS033,34,Cross-Domain Adversarial Alignment for Network Anomaly Detection Through Behavioral Embedding Enrichment,"C Salvador-Najar, LJ Domínguez Pérez",2025,,https://www.mdpi.com/2073-431X/14/11/450,journal-article,Computers,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 73862307637874384; cited-by count displayed 0",cross domain adversarial alignment for network anomaly detection through behavioral embedding enrichment,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS035,36,Network intrusion detection system based on domain adaptation for industrial control system,"J Zhang, L Yu, F Zhang",2024,,https://books.google.com/books?hl=en&lr=&id=nAL6EAAAQBAJ&oi=fnd&pg=PA430&dq=(%22network+intrusion+detection%22+OR+NIDS+OR+%22network+anomaly+detection%22,book-chapter,Artificial Intelligence Technologies and…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 5046972933354939658; cited-by count displayed 1",network intrusion detection system based on domain adaptation for industrial control system,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS036,37,A review on generative intelligence in deep learning based network intrusion detection,"M Ali, I Udoidiok, F Li, J Zhang",2024,,https://ieeexplore.ieee.org/abstract/document/10778836/,journal-article,,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 15598692136973582392; cited-by count displayed 7",a review on generative intelligence in deep learning based network intrusion detection,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS037,38,Zero-shot based hybrid neural network system for enhancing zero -day attack detection,"K Saurabh, U Singh, A Mishra, R Vyas…",2024,,https://ieeexplore.ieee.org/abstract/document/10958486/,journal-article,,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 11733312279520192163; cited-by count displayed 8",zero shot based hybrid neural network system for enhancing zero day attack detection,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS038,39,Deep learning techniques for network intrusion detection : A comparative survey,"AP AbdelHalim, A Abo-Alian, N Badr",2025,,https://journals.ekb.eg/article_442991.html,journal-article,International Journal of…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 10620970004166106540; cited-by count displayed 6",deep learning techniques for network intrusion detection a comparative survey,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS039,40,Heterogeneous network intrusion detection via domain adaptation in IoT environment,"J Zhang, Y Li, L Zhang",2025,10.1002/itl2.531,https://onlinelibrary.wiley.com/doi/abs/10.1002/itl2.531,journal-article,Internet Technology Letters,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 990822229244473330; cited-by count displayed 11",heterogeneous network intrusion detection via domain adaptation in iot environment,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS040,41,FN-GNN: A novel graph embedding approach for enhancing graph neural networks in network intrusion detection systems,"DH Tran, M Park",2024,,https://www.mdpi.com/2076-3417/14/16/6932,journal-article,Applied Sciences,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 5012808637476709901; cited-by count displayed 80",fn gnn a novel graph embedding approach for enhancing graph neural networks in network intrusion detection systems,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS041,42,Research on Multi Modal Network Intrusion Detection Method Based on Deep Neural Network,W Huang,2025,,https://ieeexplore.ieee.org/abstract/document/11307453/,journal-article,,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 16659534533132438328; cited-by count displayed 1",research on multi modal network intrusion detection method based on deep neural network,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS042,43,Advancing Network Security Through Deep Learning : A Hybrid Graph-Based and Temporal Approach to Anomaly and Threat Detection,"A Arindam, AS Baghel",2025,10.22214/ijraset.2025.71415,https://www.researchgate.net/profile/Abhirup-Arindam/publication/392266463_Advancing_Network_Security_Through_Deep_Learning_A_Hybrid_Graph-Based_and_Temporal_Approach_to_Anomaly_and_Threat_Detection/links/68488ee26b5a287c304a5a41/Advancing-Network-Security-Through-Deep-Learning-A-Hybrid-Graph-Based-and-Temporal-Approach-to-Anomaly-and-Threat-Detection.pdf,journal-article,researchgate.net,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 6247234606767423618; cited-by count displayed 5; verified publisher date 2025-05-21",advancing network security through deep learning a hybrid graph based and temporal approach to anomaly and threat detection,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS043,44,Network anomaly detection using Deep Autoencoder and parallel Artificial Bee Colony algorithm-trained neural network,"H Hacılar, BK Dedeturk, B Bakir-Gungor…",2024,,https://peerj.com/articles/cs-2333/,journal-article,PeerJ Computer…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 9301883367399841067; cited-by count displayed 10",network anomaly detection using deep autoencoder and parallel artificial bee colony algorithm trained neural network,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS044,45,ADAP-GNN: Adaptive property-aware graph neural network for intrusion detection in IoT networks,"M Termos, Z Ghalmane, A Fadlallah, A Jaber…",2026,10.1016/j.compeleceng.2026.111051,https://www.sciencedirect.com/science/article/pii/S0045790626001230,journal-article,Computers and…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 10568900907243326236; cited-by count displayed 3; verified online-indexing date 2026-02-16; May 2026 issue",adap gnn adaptive property aware graph neural network for intrusion detection in iot networks,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS045,46,A privacy-preserving graph neural network for network intrusion detection,"X Pei, X Deng, S Tian, P Jiang…",2024,,https://ieeexplore.ieee.org/abstract/document/10568382/,journal-article,IEEE Transactions on…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 9780375209711220601; cited-by count displayed 18",a privacy preserving graph neural network for network intrusion detection,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS046,47,Network intrusion detection with feature elimination and selection using deep learning,"A Mann, MV Kiran, B Nithya…",2024,,https://ieeexplore.ieee.org/abstract/document/10543897/,proceedings-article,…Conference on Emerging…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 40875913357608124; cited-by count displayed 1",network intrusion detection with feature elimination and selection using deep learning,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS047,48,A Two-Stage Deep Learning Framework Based on Device Address Features for Network Intrusion Detection,"Y Fan, Y Ma, X Liu, J Ma",2025,10.1007/978-3-031-94898-5_45,https://link.springer.com/chapter/10.1007/978-3-031-94898-5_45,book-chapter,International Conference on Machine Learning…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 7864871312447924245; cited-by count displayed 1",a two stage deep learning framework based on device address features for network intrusion detection,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS048,49,Evaluation of Anomaly-based Network Intrusion Detection Systems with Unclean Training Data for Low-rate Attack Detection,"AO Prabowo, DJ Arrizki, BA Pratomo, AI Fajar…",2026,10.3390/jcp6010014,https://www.mdpi.com/2624-800X/6/1/14,journal-article,…of Cybersecurity and…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 2658766611712507995; cited-by count displayed 2; verified publisher date 2026-01-06",evaluation of anomaly based network intrusion detection systems with unclean training data for low rate attack detection,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS049,50,AI-Driven Intrusion Detection Systems: Leveraging deep learning for network security,"M Joshi, S Birla, H Pal, K Khatri, M Kadwal…",2024,,https://www.academia.edu/download/118713454/44.pdf,journal-article,Nanotechnology…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 11734038520455045005; cited-by count displayed 7",ai driven intrusion detection systems leveraging deep learning for network security,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS050,51,Modular deep learning -based network intrusion detection architecture for real-world cyber-attack simulation,"V Ciric, M Milosevic, D Sokolovic…",2024,,https://www.sciencedirect.com/science/article/pii/S1569190X24000303,journal-article,…Modelling Practice and…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 14064180497000788915; cited-by count displayed 18",modular deep learning based network intrusion detection architecture for real world cyber attack simulation,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS053,54,Uncertainty -quantified neurosymbolic ai for open set recognition in network intrusion detection,"J Sander, CEJ Yu, B Jalaian…",2024,,https://ieeexplore.ieee.org/abstract/document/10773953/,proceedings-article,MILCOM 2024-2024…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 16979315197085945632; cited-by count displayed 9",uncertainty quantified neurosymbolic ai for open set recognition in network intrusion detection,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS054,55,An advanced attack categorization in NIDS using enhanced deep learning based EOptResfEANet methodology with hybrid feature extraction,"VA Moudiappa, K Nataraj, VN Rajavarman",2025,10.1007/s10586-024-04995-2,https://link.springer.com/article/10.1007/s10586-024-04995-2,journal-article,Cluster Computing,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 2688223745561952868; cited-by count displayed 1",an advanced attack categorization in nids using enhanced deep learning based eoptresfeanet methodology with hybrid feature extraction,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS055,56,A comparative study of using deep learning algorithms in network intrusion detection,"S Elsayed, K Mohamed, MA Madkour",2024,,https://ieeexplore.ieee.org/abstract/document/10500368/,journal-article,IEEE Access,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 715253097737006017; cited-by count displayed 112",a comparative study of using deep learning algorithms in network intrusion detection,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS056,57,Optimizing intrusion detection using a hybrid CNN LSTM deep learning framework on the NSL KDD dataset,"V Jain, K Singh, S Joshi, L Malviya, R Patel, V Gupta…",2026,10.1007/s10791-026-10056-6,https://link.springer.com/article/10.1007/s10791-026-10056-6,journal-article,Discover…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 11969061176425851796; cited-by count displayed 1; verified publisher date 2026-04-03",optimizing intrusion detection using a hybrid cnn lstm deep learning framework on the nsl kdd dataset,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS058,59,An extensive review of machine learning and deep learning techniques on network intrusion detection for IoT,"S Walling, S Lodh",2025,10.1002/ett.70064,https://onlinelibrary.wiley.com/doi/abs/10.1002/ett.70064,journal-article,Transactions on Emerging…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 818316620079436202; cited-by count displayed 44",an extensive review of machine learning and deep learning techniques on network intrusion detection for iot,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS059,60,K-GetNID: Knowledge-guided graphs for early and transferable network intrusion detection,"M Wang, N Yang, N Weng",2024,,https://ieeexplore.ieee.org/abstract/document/10605850/,journal-article,IEEE Transactions on Information…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 1414718790185371050; cited-by count displayed 20",k getnid knowledge guided graphs for early and transferable network intrusion detection,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS062,63,Network Intrusion Detection using Combined Deep Learning Models: Literature Survey and Future Research Directions.,"H KAMAL IDRISSI, A KARTIT",2024,,https://www.iaeng.org/IJCS/issues_v51/issue_8/IJCS_51_8_06.pdf,journal-article,IAENG International Journal of Computer…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 16374681555339422701; cited-by count displayed 9",network intrusion detection using combined deep learning models literature survey and future research directions,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS063,64,Enhanced network anomaly detection using autoencoders: A deep learning approach for proactive cybersecurity,"J Simon, N Kapileswar, R Vani…",2024,,https://ieeexplore.ieee.org/abstract/document/10696845/,journal-article,…on Intelligent Cyber…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 17523533899843221690; cited-by count displayed 18",enhanced network anomaly detection using autoencoders a deep learning approach for proactive cybersecurity,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS064,65,A synergistic approach in network intrusion detection by neurosymbolic ai,"A Bizzarri, CE Yu, B Jalaian, F Riguzzi…",2024,10.48550/arXiv.2406.00938,https://arxiv.org/abs/2406.00938,posted-content,arXiv preprint arXiv…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 17425358335940674440; cited-by count displayed 19",a synergistic approach in network intrusion detection by neurosymbolic ai,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS065,66,Explainable AI Meets Synthetic Data: A Deep Learning Framework for Detecting Network Intrusion in NextG Network Infrastructure,"MJ Hossain, K Alam, MF Monir, MM Hoque…",2025,,https://ieeexplore.ieee.org/abstract/document/11069291/,journal-article,IEEE…,"Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 12544083577893452014; cited-by count displayed 13",explainable ai meets synthetic data a deep learning framework for detecting network intrusion in nextg network infrastructure,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
GS068,70,"[C]The rise of ai-driven network intrusion detection systems: Innovations, challenges, and future directions",MSRS Raja,2025,,,journal-article,"International Journal of AI, BigData, Computational and…","Direct extraction of current Google Scholar result pages using the reported concept groups with spaces as source-specific AND syntax; current Scholar rank, not the historical rank; Scholar cluster 10953576351119114514; cited-by count displayed 17",c the rise of ai driven network intrusion detection systems innovations challenges and future directions,,,,no_automatic_match,,not_a_duplicate_candidate,,,not_required
