row_order,record_id,year,title,doi,evidence_url,primary_group,front_tested,secondary_coverage,reported_result_or_value,data_separation_rating,data_separation_basis,leakage_control_rating,leakage_control_basis,target_access_and_harmonization_rating,target_access_and_harmonization_basis,selection_independence_rating,selection_independence_basis,statistical_reporting_rating,statistical_reporting_basis,reproducibility_rating,reproducibility_basis,overall_confidence,overall_quality_basis,deployment_limitation,scope_exception,verification_status
14,"R30",2025,"Adaptive Semi-Supervised Algorithm for Intrusion Detection and Unknown Attack Identification","10.3390/app15041709","https://doi.org/10.3390/app15041709","open-set recognition","Open-set / anomaly","normal-only anomaly detection","Reports CIC-IDS2017 F1 95.2% and FOR 10.7%, and Kitsune F1 83.2% and FOR 15.8%, under normal-only training; for real-vehicle data, the abstract reports FOR 13% while the body reports FPR 0.130.","unclear","Attack-containing validation data serve as the principal evaluation set, weakening independent evaluation.","partial","No direct preprocessing leakage is established, but the validation-evaluation role is confounded.","not_applicable","The main experiments are normal-only anomaly evaluations rather than source-target adaptation.","unclear","The anomaly threshold and its selection data are not reported.","unclear","Repeated-run uncertainty is absent and the vehicle metric description is inconsistent.","partial","The article is accessible, but threshold details and internally consistent reporting are incomplete.","limited","Unreported thresholding and confounded validation substantially weaken the result.","Useful normal-only anomaly evidence, but it is closer to binary anomaly detection than full multiclass open-set deployment testing.","","full_text_verified"
15,"R2",2024,"Enhancing trustworthiness in ML-based network intrusion detection with uncertainty quantification","10.1007/s40860-024-00238-8","https://doi.org/10.1007/s40860-024-00238-8","reliability","Reliability + open-set","OoD and unknown-class stress","Evaluates uncertainty-aware OoD/open-set detection on ToN-IoT and CICIDS2017; detailed ToN-IoT 6U reports AUROC20* 0.72 and AUROC 0.92, while CICIDS results are averaged across scenarios.","clear","Training, validation, and testing roles are explicitly separated.","clear","No material leakage or test-set reuse was identified in the assessed protocol.","not_applicable","The principal evidence concerns OoD and unknown-class stress rather than source-target adaptation.","clear","Threshold selection is separated from held-out testing.","clear","Repeated runs and uncertainty estimates are reported.","partial","The experimental method is well reported, while complete public executable resources are not the sole basis of the rating.","higher","Data separation, threshold selection, repetitions, and uncertainty estimates are clearly reported.","Links uncertainty with unknown samples but not under a full cross-dataset source-target shift.","","full_text_verified"
16,"R13",2024,"Towards trustworthy cybersecurity operations using Bayesian Deep Learning to improve uncertainty quantification of anomaly detection","10.1016/j.cose.2024.103909","https://doi.org/10.1016/j.cose.2024.103909","reliability","Reliability","uncertainty rejection","Reports AUC-rejection 0.986±0.001 on UNSW-NB15 and 0.846±0.011 on CIC-IDS2017 using Bayesian autoencoder uncertainty.","partial","Train and test use are described, while an independent selection set is not fully clear.","partial","No definite leakage is established, but the selection protocol prevents a fully clear rating.","not_applicable","The two datasets are evaluated independently rather than through source-target adaptation.","unclear","Model or distribution selection appears to use the best observed reported result.","clear","Seven-seed results and variability are reported.","unclear","Code is not released.","moderate","Seven-seed reporting supports interpretation, but observed-result model selection and absent code limit confidence.","Evaluates uncertainty rejection without combining unknown attack families and cross-dataset shift.","","full_text_verified"
17,"R16",2024,"Trustable Network Intrusion Detection System through Wisdomnet and Uncertainty Measures","10.1109/LCN60385.2024.10639737","https://doi.org/10.1109/LCN60385.2024.10639737","reliability","Reliability / abstention","selective prediction","Reports base F1 values of 0.998, 0.994, 0.985, and 0.988; WisdomNet reaches near-zero or zero accepted-sample error in several settings at roughly 5-7% rejection, while some uncertainty-threshold settings require higher rejection.","clear","Validation-based thresholding and separate testing are reported.","partial","No major leakage is identified, although complete preprocessing controls are not documented in the extraction.","not_applicable","The assessment is a within-dataset selective-prediction evaluation.","clear","Rejection and uncertainty thresholds are selected using validation data.","unclear","Repeated runs and statistical uncertainty are absent.","unclear","Code is not released.","moderate","Validation-based thresholding and separate testing are clear, but statistical and code support are absent.","Rejection reduces accepted-sample error, but outcomes depend on threshold and coverage choices.","","full_text_verified"
18,"R17",2025,"Calibrated Uncertainty Estimation for Trustworthy Deep IoT Attack Detection","10.1109/TDSC.2025.3598350","https://doi.org/10.1109/TDSC.2025.3598350","reliability","Reliability + OoD","calibration and OoD stress","Reports 98.4% accuracy, about 4.86% false alarms on IoT-23, selected calibration temperature T=1.39, and 96.42% retention at the top-F1 operating point.","clear","A separate validation set is used for calibration.","clear","No material preprocessing or test-set leakage was identified for calibration fitting.","not_applicable","The reported shift is within the IoT-23 design rather than source-target dataset adaptation.","partial","Calibration fitting is independent, but selective thresholds and OoD subsets appear chosen from reported performance.","unclear","Repeated-run uncertainty is not reported.","partial","The method and calibration procedure are described, while complete rerun resources are not clear.","moderate","Independent calibration supports interpretation, but selective operating choices and absent repeated-run uncertainty limit confidence.","Does not provide a full source-target protocol with withheld attack families.","","full_text_verified"
19,"R18",2025,"Intrusion detection in Software-Defined Networking using hybrid Bayesian model averaging for reliable uncertainty quantification","10.1016/j.comnet.2025.111436","https://doi.org/10.1016/j.comnet.2025.111436","reliability","Reliability / uncertainty","uncertainty estimation","Reports 99.93% accuracy and F1 on InSDN, and 99.89% accuracy with 99.90% F1 on CIC-DDoS2019 using CNN-LSTM with MC Dropout and Bayesian model averaging.","unclear","Validation for model selection is unclear.","unclear","Normalisation is described before splitting, creating a material leakage concern.","not_applicable","The datasets are evaluated in separate within-dataset experiments, not a source-target protocol.","unclear","Independent model selection and operating-setting selection are not established.","unclear","Repeated-run uncertainty for the headline performance is not reported clearly.","partial","The architecture is described, but the protocol omissions prevent complete reproduction.","limited","Pre-split normalisation and unclear model selection materially weaken the reported evidence.","Quantifies uncertainty but does not jointly test cross-dataset generalization and unknown-attack rejection.","","full_text_verified"
20,"R5",2026,"Dataset-centric evaluation of federated intrusion detection models in IoT networks","10.1038/s41598-025-32567-w","https://doi.org/10.1038/s41598-025-32567-w","deployment adaptation or realism","Federated deployment","cross-dataset federation","Reports federated in-domain macro-F1 up to 98%, cross-dataset drops of up to 30 percentage points, and 15-25% communication reduction with FedNova.","partial","Federated and cross-dataset scenarios are described, but all split details are not fully auditable.","partial","No major leakage is established, although inconsistent reporting prevents a completely clear protocol rating.","clear","Feature and label harmonisation and dataset roles are explicit.","partial","The selection protocol is interpretable, but some implementation counts are inconsistent.","unclear","Results lack repeated-run uncertainty.","partial","The method is documented, but communication-round inconsistencies reduce reproducibility.","moderate","Explicit harmonisation supports interpretation, while inconsistent counts and absent repeated-run uncertainty limit confidence.","Shows federated deployment realism without combining unknown-attack rejection and calibrated abstention.","","full_text_verified"
21,"R9",2026,"FORT-IDS: a federated, optimized, robust and trustworthy intrusion detection system for IIoT security","10.1038/s41598-025-31025-x","https://doi.org/10.1038/s41598-025-31025-x","deployment adaptation or realism","IIoT deployment / efficiency","cross-dataset transfer and pruning","Reports asymmetric cross-dataset transfer, with F1=0.39 for DDoS->UNSW and F1=0.99 for UNSW->DDoS; replacing CNN-LSTM with a pruned CNN reduces median latency from 120 ms to 25 ms while accuracy changes from 98% to 92%.","clear","Leakage controls and repeated evaluation structure are described.","clear","No major leakage was identified in the assessed protocol.","partial","Source-target directions are explicit, but dataset counts and the role of target fine-tuning are inconsistent.","partial","The target-fine-tuning ambiguity prevents a fully independent source-only selection rating.","partial","Multi-seed and fold reporting are present, but exact statistical-test details and multiplicity correction are incomplete.","partial","Extensive implementation detail is present, but internal inconsistencies limit complete reproduction.","moderate","Leakage control and multi-seed support are strong, but target-fine-tuning and dataset-count inconsistencies remain.","Provides deployment measurement without closing the joint cross-dataset, open-set, and reliability gap.","","full_text_verified"
22,"R19",2025,"Class Incremental Learning for Network-Agnostic Intrusion Detection Systems","10.1109/RTSI64020.2025.11212335","https://doi.org/10.1109/RTSI64020.2025.11212335","deployment adaptation or realism","Continual adaptation","cross-network benign-traffic adaptation","Reports cross-network class-incremental adaptation: in the multiclass setting, iCaRL+ gives about 5% DropOld and 4% DropAll; in the binary misuse-detection setting, it reports about 99% F1 and 100% AUC.","unclear","The train-test partition is not reported clearly.","unclear","Insufficient partition detail prevents a clear leakage assessment.","clear","Target-network benign data used for adaptation are disclosed.","unclear","Independent model and operating-setting selection is not reported clearly.","unclear","Variability and repeated-run reporting are absent or unclear.","partial","The method and adaptation setting are described, but split and rerun details are incomplete.","limited","Unclear partitions and absent variability materially weaken the adaptation result.","Useful adaptation evidence but not a complete unknown-attack and calibrated-abstention protocol.","","full_text_verified"
23,"R26",2024,"Few-Shot Class-Incremental Learning for Network Intrusion Detection Systems","10.1109/OJCOMS.2024.3481895","https://doi.org/10.1109/OJCOMS.2024.3481895","deployment adaptation or realism","Few-shot class-incremental","few-shot attack adaptation","Reports up to 95% F1 on C_all, up to +5% over the non-FSCIL baseline, and about 95% F1 with a 10 s traffic-observation cutoff.","clear","Training, validation, test, support, and query sets are separated.","clear","No material leakage was identified in the episodic partitioning.","clear","Target support and query access are explicit.","partial","The 10 s observation cutoff is justified from reported sensitivity results and is not shown to be fixed using training or validation data alone.","clear","One hundred episodes with confidence intervals are reported.","partial","The experimental protocol is detailed, while complete executable resources are not clearly reported.","moderate","Strong partitioning and repeated episodic reporting are offset by test-independent cutoff uncertainty.","Useful for low-label attack adaptation but not complete open-set reliability evidence.","","full_text_verified"
24,"R27",2025,"Federated transfer learning for rare attack class detection in network intrusion detection systems","10.1038/s41598-025-02068-x","https://doi.org/10.1038/s41598-025-02068-x","deployment adaptation or realism","Federated transfer","rare-class and new-class adaptation","Reports 98.90% accuracy and 95.79% F1 on CSE-CIC-IDS2018, 98.70% and 95.41% on UNSW-NB15, and 97.92% and 94.56% on Edge-IIoT.","unclear","Split construction is not reported clearly enough for independent verification.","unclear","Label-dependent deployment metrics weaken the claimed zero-day design and leakage control is unclear.","partial","Multiple dataset settings are reported, but source-target access and label use are not fully distinguished.","unclear","Independent selection of settings is not established.","unclear","Detection variability and repeated-run support are not clear.","partial","The article reports methods and results, but key split and variability information is incomplete.","limited","Unclear splits, label-dependent new-class inference, and absent variability weaken confidence.","Shows multi-dataset federated learning without withheld unknown attacks and reliability under one rule.","","full_text_verified"
25,"R28",2024,"TICPS: A trustworthy collaborative intrusion detection framework for industrial cyber-physical systems","10.1016/j.adhoc.2024.103517","https://doi.org/10.1016/j.adhoc.2024.103517","deployment adaptation or realism","Robust deployment","poisoning robustness","Reports robustness under three poisoning attacks, with about 93-94% intrusion-detection accuracy when up to 80% of industrial agents are malicious.","clear","Data splits, poisoning scenarios, and device conditions are reported.","clear","No material leakage was identified in the described poisoning protocol.","not_applicable","The principal evaluation concerns poisoning robustness rather than source-target adaptation.","unclear","Settings are selected from test-accuracy sensitivity analysis.","unclear","No repeated-run uncertainty is reported.","partial","The attack and deployment conditions are documented, but complete rerun resources are not clear.","moderate","The robustness scenarios are clear, but test-informed setting selection and absent variability limit confidence.","Addresses poisoning robustness rather than cross-dataset open-set reliability.","","full_text_verified"
26,"R29",2026,"Scalable and Generalizable Cross-Domain Invariant Network Analysis and Intrusion Detection System Using Deep Learning","10.1109/OJCOMS.2026.3677692","https://doi.org/10.1109/OJCOMS.2026.3677692","deployment adaptation or realism","Feature stability / deployment realism","scalability and invariant-feature analysis","Reports merged-scenario accuracies of 99.73% on MQTT-bi, 99.77% on MQTT-uni, 99.79% on CICIDS2017, and 98.31% on ToN-IoT.","partial","Merged-scenario experiments are reported, but a central source-to-target test is not performed.","partial","No definite preprocessing leakage is established, while the evaluation design is insufficient for a clear rating.","unclear","The paper contains contradictory descriptions of cross-domain evaluation.","unclear","Independent setting selection for the claimed cross-domain evidence is not clear.","unclear","Repeated-run variability and statistical support are not reported clearly.","partial","The model and datasets are described, but contradictory protocol language limits reproduction.","limited","The absent source-target test and contradictory cross-domain descriptions materially weaken confidence.","Useful for scalability and invariant-feature analysis, but not a joint deployment-readiness test.","","full_text_verified"
27,"R31",2025,"FedMSE: Semi-supervised federated learning approach for IoT network intrusion detection","10.1016/j.cose.2025.104337","https://doi.org/10.1016/j.cose.2025.104337","deployment adaptation or realism","Low-label federated IoT","non-IID and partial-participation deployment","Reports FedMSE AUC/accuracy performance of 97.30±0.49 versus 93.98±2.90 in the high non-IID setting, with the same values under 50% gateway participation.","clear","Training, validation, development, and test sets are separated.","clear","No material leakage was identified in the documented pipeline.","clear","Label availability, non-IID conditions, and gateway participation are explicit.","clear","Development and validation data are separated from final testing.","clear","Five repetitions with variability are reported.","clear","Code and prepared data are released.","higher","Clear separation, five repetitions, and released resources provide strong support.","Relevant to practical IoT deployment, but unknown-attack rejection and reliability remain separate.","","full_text_verified"
28,"R32",2025,"Trustworthy Adaptive AI for Real-Time Intrusion Detection in Industrial IoT Security","10.3390/iot6030053","https://doi.org/10.3390/iot6030053","deployment adaptation or realism","Edge deployment","online adaptation and explainability","Reports 96.4% accuracy, 2.1% FPR, and about 35 ms latency on Raspberry Pi 5 in IIoT deployment.","unclear","SMOTE is applied before splitting and the online stream uses labelled test-then-train evaluation.","unclear","Pre-split SMOTE creates a material leakage concern.","not_applicable","The principal evidence is edge and online deployment rather than source-target adaptation.","unclear","Independent model and hyperparameter selection is not established clearly.","unclear","The significance narrative conflicts with the adjacent reported p-values.","partial","The architecture and hardware setup are described, but code and internally consistent statistics are not provided.","limited","Pre-split SMOTE, labelled test-then-train evaluation, and contradictory statistics materially weaken confidence.","Supports edge feasibility, but latency and accuracy do not prove cross-dataset open-set reliability.","primary_method_not_dl_centered","full_text_verified"
29,"R33",2024,"IDAC: Federated Learning-Based Intrusion Detection Using Autonomously Extracted Anomalies in IoT","10.3390/s24103218","https://doi.org/10.3390/s24103218","deployment adaptation or realism","Federated anomaly detection","autonomous attack-candidate sharing","Reports F1 greater than 81% across DDoS, OSScan, ServiceScan, Keylogging, and data exfiltration, with TNR greater than 0.91 in BoT-IoT-based IDAC scenarios.","partial","Evaluation scenarios are transparent, while a conventional independent split protocol is not fully described.","partial","No definite leakage is established, but partition controls are not reported fully enough for a clear rating.","not_applicable","The experiment evaluates federated attack-candidate sharing rather than source-target domain adaptation.","unclear","Hyperparameters are chosen from the same attack-specific results used for reporting.","unclear","Detection variability and repeated-run uncertainty are absent.","partial","Parameters and scenarios are documented, but complete rerun resources are not clearly released.","moderate","Transparent scenarios support interpretation, but test-informed hyperparameters and absent variability limit confidence.","Addresses federated anomaly extraction rather than all three deployment fronts under one protocol.","primary_method_not_dl_centered","full_text_verified"
