full_text_row_id,screening_row_id,source_record_id,title,authors,year,doi,url,record_type,venue,title_abstract_final_decision,title_abstract_final_reason,title_abstract_reviewer,agent_eligibility_signals,assigned_reviewer
FT019,TA034,GS048,Evaluation of Anomaly-based Network Intrusion Detection Systems with Unclean Training Data for Low-rate Attack Detection,"AO Prabowo, DJ Arrizki, BA Pratomo, AI Fajar…",2026,10.3390/jcp6010014,https://www.mdpi.com/2624-800X/6/1/14,journal-article,…of Cybersecurity and…,include_for_full_text,,KSS,open_set_or_unseen_attack;deployment_adaptation_or_realism,KSS
FT020,TA036,GS098,Constraining adversarial attacks on network intrusion detection systems: transferability and defense analysis,"N Alhussien, A Aleroud, A Melhem…",2024,,https://ieeexplore.ieee.org/abstract/document/10411959/,journal-article,IEEE Transactions on…,include_for_full_text,,KSS,deployment_adaptation_or_realism,KSS
FT021,TA037,SD017,A novel open set Energy-based Flow Classifier for Network Intrusion Detection,"Souza, Manuela M.C. and Pontes, Camila T. and Gondim, João J.C. and Garcia, Luís P.F. and DaSilva, Luiz and Cavalcante, Eduardo F.M. and Marotta, Marcelo A.",2025,10.1016/j.cose.2025.104569,https://doi.org/10.1016/j.cose.2025.104569,journal-article,Computers & Security,include_for_full_text,,KLL,open_set_or_unseen_attack;calibration_uncertainty_ood_or_confidence,KLL
FT022,TA039,GS065,Explainable AI Meets Synthetic Data: A Deep Learning Framework for Detecting Network Intrusion in NextG Network Infrastructure,"MJ Hossain, K Alam, MF Monir, MM Hoque…",2025,,https://ieeexplore.ieee.org/abstract/document/11069291/,journal-article,IEEE…,include_for_full_text,,KLL,open_set_or_unseen_attack;deployment_adaptation_or_realism,KLL
FT023,TA040,SD010,Deep Q-learning intrusion detection system (DQ-IDS): A novel reinforcement learning approach for adaptive and self-learning cybersecurity,Md. Alamgir Hossain,2025,10.1016/j.icte.2025.05.007,https://www.sciencedirect.com/science/article/pii/S2405959525000694,journal-article,ICT Express,include_for_full_text,,KSS,open_set_or_unseen_attack;deployment_adaptation_or_realism,KSS
FT024,TA042,SL003,A comprehensive defense approach of deep learning-based NIDS against adversarial attacks,Barik Kousik; Misra Sanjay,2025,10.1007/s11042-025-21008-5,https://link.springer.com/article/10.1007/s11042-025-21008-5,journal-article,Multimedia Tools and Applications,include_for_full_text,,KSS,deployment_adaptation_or_realism,KSS
FT025,TA043,IX016,Class Incremental Learning for Network-Agnostic Intrusion Detection Systems,"Cerasuolo, Francesco and Bovenzi, Giampaolo and Montieri, Antonio and Pescapè, Antonio",2025,10.1109/rtsi64020.2025.11212335,https://doi.org/10.1109/RTSI64020.2025.11212335,proceedings-article,2025 IEEE 9th Forum on Research and Technologies for Society and Industry Innovation (RTSI),include_for_full_text,,KLL,cross_dataset_or_domain_shift;open_set_or_unseen_attack;deployment_adaptation_or_realism,KLL
FT026,TA044,SD009,An active learning framework using deep Q-network for zero-day attack detection,Yali Wu; Yanghu Hu; Junhu Wang; Mengqi Feng; Ang Dong; Yanxi Yang,2024,10.1016/j.cose.2024.103713,https://www.sciencedirect.com/science/article/pii/S0167404824000142,journal-article,Computers & Security,include_for_full_text,,KSS,open_set_or_unseen_attack;deployment_adaptation_or_realism,KSS
FT027,TA045,GS059,K-GetNID: Knowledge-guided graphs for early and transferable network intrusion detection,"M Wang, N Yang, N Weng",2024,,https://ieeexplore.ieee.org/abstract/document/10605850/,journal-article,IEEE Transactions on Information…,include_for_full_text,,KLL,cross_dataset_or_domain_shift;open_set_or_unseen_attack;deployment_adaptation_or_realism,KLL
FT028,TA048,IX004,"Meta: Toward a Unified, Multimodal Dataset for Network Intrusion Detection Systems",Syed Wali; Yasir Ali Farrukh; Irfan Khan; Nathaniel D. Bastian,2024,10.1109/ieeedata.2024.3482286,https://ieeexplore.ieee.org/document/10720901,journal-article,IEEE Data Descriptions,include_for_full_text,,KSS,cross_dataset_or_domain_shift;deployment_adaptation_or_realism,KSS
FT029,TA049,SD018,Intrusion detection in Software-Defined Networking using hybrid Bayesian model averaging for reliable uncertainty quantification,Yasmine Medjadba; Hamza Drid; Mohamed Rahouti,2025,10.1016/j.comnet.2025.111436,https://www.sciencedirect.com/science/article/pii/S1389128625004037,journal-article,Computer Networks,include_for_full_text,,KLL,calibration_uncertainty_ood_or_confidence,KLL
FT030,TA051,GS001,"Cross -Dataset Transformer-IDS with Calibration and AUC Optimization (Evaluated on NSL-KDD, UNSW-NB15, CIC-IDS2017).","C Xin, K Xu",2025,,https://openurl.ebsco.com/contentitem/gcd:193600133?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:193600133&crl=c&jrnl=25790072,journal-article,Journal of Cybersecurity (2579-0072),include_for_full_text,,KLL,cross_dataset_or_domain_shift;calibration_uncertainty_ood_or_confidence,KLL
FT031,TA053,CR019,Privacy-Preserving Federated Network Intrusion Detection on Encrypted Traffic: A Multi-Site Cross-Domain Approach with XGBoost Optimization,Peter Oluwaseun Adepoju; Mohammed Al-Hubaishi,2025,10.1109/icmlant68509.2025.11394855,https://doi.org/10.1109/icmlant68509.2025.11394855,proceedings-article,2025 IEEE International Conference on Machine Learning and Applied Network Technologies (ICMLANT),include_for_full_text,,KLL,cross_dataset_or_domain_shift;deployment_adaptation_or_realism,KLL
FT032,TA054,GS101,NIDS -β*: an explainable large language based framework for contextual intrusion resilience in network security,F Saidi,2026,10.3389/frai.2026.1746661,https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2026.1746661/full,journal-article,Frontiers in Artificial Intelligence,include_for_full_text,,KSS,open_set_or_unseen_attack;calibration_uncertainty_ood_or_confidence;deployment_adaptation_or_realism,KSS
FT033,TA055,GS105,Stochastic Multimodal Transformer with Uncertainty Quantification for Robust Network Intrusion Detection,"RN Anaedevha, AG Trofimov",2025,10.1007/978-3-032-07690-8_35,https://link.springer.com/chapter/10.1007/978-3-032-07690-8_35,book-chapter,International Conference on…,include_for_full_text,,KLL,calibration_uncertainty_ood_or_confidence,KLL
FT034,TA056,ACM006,Open Set Dandelion Network for IoT Intrusion Detection,"Wu, Jiashu and Dai, Hao and Kent, Kenneth B. and Yen, Jerome and Xu, Chengzhong and Wang, Yang",2024,10.1145/3639822,https://doi.org/10.1145/3639822,journal-article,ACM Transactions on Internet Technology,include_for_full_text,,KSS,open_set_or_unseen_attack,KSS
FT035,TA057,CR030,Adaptive Decision-Level Intrusion Detection for Known and Zero-Day Attacks,Joseph P. Mchina; Neema Mduma; Ramadhani S. Sinde,2026,10.3390/network6020023,https://doi.org/10.3390/network6020023,journal-article,Network,include_for_full_text,,KLL,open_set_or_unseen_attack;deployment_adaptation_or_realism,KLL
FT036,TA059,GS071,Elevated few-shot network intrusion detection via self-attention mechanisms and iterative refinement,"C Xu, Y Zhan, G Chen, Z Wang, S Liu, W Hu",2025,10.1371/journal.pone.0317713,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0317713,journal-article,PloS one,include_for_full_text,,KLL,open_set_or_unseen_attack;deployment_adaptation_or_realism,KLL
FT037,TA065,SL005,A minimalistic yet effective domain adaptation strategy for IoMT network intrusion detection,Mahbub Mahir; Riasat Md. Tanjib; Hamid Tasnima; Sutradhar Sujon Chandra; Khan Mohammed Shafiul Alam,2026,10.1007/s43926-026-00288-9,https://link.springer.com/article/10.1007/s43926-026-00288-9,journal-article,Discover Internet of Things,include_for_full_text,,KLL,cross_dataset_or_domain_shift,KLL
FT038,TA066,GS037,Zero-shot based hybrid neural network system for enhancing zero -day attack detection,"K Saurabh, U Singh, A Mishra, R Vyas…",2024,,https://ieeexplore.ieee.org/abstract/document/10958486/,journal-article,,include_for_full_text,,KSS,open_set_or_unseen_attack,KSS
FT039,TA068,CR013,ResTN: Residual Transfer Network for Cross Domain Network Intrusion Detection,Wei Huang; Yong Wang; Zhen Wang,2025,10.1109/icsp65755.2025.11086791,https://doi.org/10.1109/icsp65755.2025.11086791,proceedings-article,2025 10th International Conference on Intelligent Computing and Signal Processing (ICSP),include_for_full_text,,KSS,cross_dataset_or_domain_shift,KSS
FT040,TA069,GS006,DATI-IDS: Domain adaptation and time-series imaging-based intrusion detection system for connected autonomous vehicles,"J Tan, L Huang, Z Xia, K Gu, W Hao…",2025,10.1109/tits.2025.3587750,https://ieeexplore.ieee.org/abstract/document/11095369/,journal-article,IEEE Transactions on …,include_for_full_text,,KLL,cross_dataset_or_domain_shift,KLL
FT041,TA070,GS083,Real-Time Network Intrusion Detection System Using Deep Learning : Identifying Cyber Attacks Through Anomaly Pattern Recognition,R Chandra,2025,,https://www.jsrtjournal.com/index.php/JSRT/article/view/388,journal-article,Journal of Scientific Research and Technology,include_for_full_text,,KSS,cross_dataset_or_domain_shift;open_set_or_unseen_attack;deployment_adaptation_or_realism,KSS
FT042,TA071,IX010,The Missing Link in Network Intrusion Detection: Taking AI/ML Research Efforts to Users,Katharina Dietz; Michael Mühlhauser; Jochen Kögel; Stephan Schwinger; Marleen Sichermann; Michael Seufert; Dominik Herrmann; Tobias Hoßfeld,2024,10.1109/access.2024.3406939,https://ieeexplore.ieee.org/document/10540566,journal-article,IEEE Access,include_for_full_text,,KLL,deployment_adaptation_or_realism,KLL
FT043,TA072,GS103,MMCo: using multimodal deep learning to detect malicious traffic with noisy labels,"Q Yuan, G Gou, Y Zhu, Y Wang",2024,10.1007/s11704-023-2386-4,https://journal.hep.com.cn/fcs/EN/10.1007/s11704-023-2386-4,journal-article,Frontiers of Computer Science,include_for_full_text,,KSS,deployment_adaptation_or_realism,KSS
FT044,TA073,ACM003,LNNIDS: A Hybrid Liquid Neural Network based IDS for Known and Unknown IoT Attacks,Rakesh Kumar; Mayank Swarnkar; Manmeet Muskan,2025,10.1145/3771739,https://dl.acm.org/doi/10.1145/3771739,journal-article,ACM Transactions on Internet Technology,include_for_full_text,,KLL,open_set_or_unseen_attack,KLL
FT045,TA075,CR006,CS-NIDS: Network Intrusion Detection Based on Cross-Silo Federated Learning,Maged Abdelaty,2025,10.1109/iceeng64546.2025.11031351,https://doi.org/10.1109/iceeng64546.2025.11031351,proceedings-article,2025 15th International Conference on Electrical Engineering (ICEENG),include_for_full_text,,KLL,deployment_adaptation_or_realism,KLL
FT046,TA076,GS028,A Semi-Supervised Meta-Negative-Learning Approach to Few-Shot Network Intrusion Detection in Internet of Things,"M Wu, Y Zheng, Y Yang, J Luo…",2026,10.1109/jiot.2026.3653672,https://ieeexplore.ieee.org/abstract/document/11348114/,journal-article,IEEE Internet of Things…,include_for_full_text,,KSS,open_set_or_unseen_attack;deployment_adaptation_or_realism,KSS
FT047,TA077,ACM001,Multi-Stage Enhanced Zero Trust Intrusion Detection System for Unknown Attack Detection in Internet of Things and Traditional Networks,Malek Al-Zewairi; Sufyan Almajali; Moussa Ayyash; Mohamed Rahouti; Fernando Martinez; Nordine Quadar,2025,10.1145/3725216,https://dl.acm.org/doi/10.1145/3725216,journal-article,ACM Transactions on Privacy and Security,include_for_full_text,,KLL,open_set_or_unseen_attack;deployment_adaptation_or_realism,KLL
FT048,TA079,CR029,Adaptive Semi-Supervised Algorithm for Intrusion Detection and Unknown Attack Identification,"Li, Meng and Luo, Lei and Xiao, Kun and Wang, Geng and Wang, Yintao",2025,10.3390/app15041709,https://doi.org/10.3390/app15041709,journal-article,Applied Sciences,include_for_full_text,,KLL,open_set_or_unseen_attack,KLL
FT049,TA080,SL006,Federated transfer learning for rare attack class detection in network intrusion detection systems,Sri Abhijit Chunduru; Annie Jerusha Y.; Syed Ibrahim S. P.; Varadharajan Vijay,2025,10.1038/s41598-025-02068-x,https://link.springer.com/article/10.1038/s41598-025-02068-x,journal-article,Scientific Reports,include_for_full_text,,KSS,cross_dataset_or_domain_shift;open_set_or_unseen_attack;deployment_adaptation_or_realism,KSS
FT050,TA081,CR021,Causal Graph-Enhanced Deep Learning for Robust Anomaly Detection in Network Intrusion Detection Systems,Xiaoyan Yu,2025,10.1109/mlprae67267.2025.11290821,https://doi.org/10.1109/mlprae67267.2025.11290821,proceedings-article,"2025 2nd International Conference on Machine Learning, Pattern Recognition and Automation Engineering (MLPRAE)",include_for_full_text,,KLL,open_set_or_unseen_attack;deployment_adaptation_or_realism,KLL
FT051,TA085,IX014,Toward Open-World Network Intrusion Detection via Open Recognition and Inspection,"Du, Lei and Chai, Yuhan and Jia, Yan and Fang, Binxing and Li, Hao and Gu, Zhaoquan",2025,10.1109/tifs.2025.3608666,https://doi.org/10.1109/TIFS.2025.3608666,journal-article,IEEE Transactions on Information Forensics and Security,include_for_full_text,,KLL,open_set_or_unseen_attack,KLL
FT052,TA087,GS088,A comparison of neural -network -based intrusion detection against signature-based detection in IoT networks,"M Schrötter, A Niemann, B Schnor",2024,,https://www.mdpi.com/2078-2489/15/3/164,journal-article,Information,include_for_full_text,,KLL,deployment_adaptation_or_realism,KLL
FT053,TA089,IX006,Zero-Day Attack Detection in IoT Networks Using a Residual Vision Transformer-Based Approach With Zero-Shot Learning,Komcharn Nitrat; Nopparuj Suetrong; Natthanan Promsuk,2025,10.1109/ojcoms.2025.3604826,https://ieeexplore.ieee.org/document/11151630,journal-article,IEEE Open Journal of the Communications Society,include_for_full_text,,KLL,open_set_or_unseen_attack,KLL
FT054,TA090,CR031,Cross-Dataset Temporal and Semantic Generalization of Intrusion Detection Models for the Future Internet,"Elangovan, Rajesh and Parthasarathy, Durga Devi and Jawahar, M. and Kaliyaperumal, Prabu and Balusamy, Balamurugan and Yogarayan, Sumendra and Venkatesan, Vivek",2026,10.3390/fi18040194,https://doi.org/10.3390/fi18040194,journal-article,Future Internet,include_for_full_text,,KSS,cross_dataset_or_domain_shift,KSS
FT055,TA091,CR027,Trustworthy Adaptive AI for Real-Time Intrusion Detection in Industrial IoT Security,"Al Rawajbeh, Mohammad and Maria Soosai, Amala Jayanthi and Ramasamy, Lakshmana Kumar and Khan, Firoz",2025,10.3390/iot6030053,https://doi.org/10.3390/iot6030053,journal-article,IoT,include_for_full_text,,KLL,deployment_adaptation_or_realism,KLL
FT056,TA092,CR032,"FORT-IDS: a federated, optimized, robust and trustworthy intrusion detection system for IIoT security","Mazroa, Alanoud Al",2026,10.1038/s41598-025-31025-x,https://doi.org/10.1038/s41598-025-31025-x,journal-article,Scientific Reports,include_for_full_text,,KSS,cross_dataset_or_domain_shift;deployment_adaptation_or_realism,KSS
FT057,TA094,SD005,Evaluating and enhancing intrusion detection systems in IoMT: The importance of domain-specific datasets,Jordi Doménech; Olga León; Muhammad Shuaib Siddiqui; Josep Pegueroles,2025,10.1016/j.iot.2025.101631,https://www.sciencedirect.com/science/article/pii/S2542660525001453,journal-article,Internet of Things,include_for_full_text,,KSS,cross_dataset_or_domain_shift;deployment_adaptation_or_realism,KSS
FT058,TA096,IX017,Calibrated Uncertainty Estimation for Trustworthy Deep IoT Attack Detection,"Pal, Biprodip and Islam, Md. Saiful and Liew, Alan Wee-Chung",2025,10.1109/tdsc.2025.3598350,https://doi.org/10.1109/TDSC.2025.3598350,journal-article,IEEE Transactions on Dependable and Secure Computing,include_for_full_text,,KSS,calibration_uncertainty_ood_or_confidence,KSS
FT059,TA097,GS027,Enhanced Adversarial Domain Adaptation for Intrusion Detection Systems,"I Guerziz, Z Abou El Houda…",2025,,https://ieeexplore.ieee.org/abstract/document/11257501/,journal-article,,include_for_full_text,,KLL,cross_dataset_or_domain_shift,KLL
FT060,TA099,SD015,Towards trustworthy cybersecurity operations using Bayesian Deep Learning to improve uncertainty quantification of anomaly detection,"Yang, Tengfei and Qiao, Yuansong and Lee, Brian",2024,10.1016/j.cose.2024.103909,https://doi.org/10.1016/j.cose.2024.103909,journal-article,Computers & Security,include_for_full_text,,KLL,calibration_uncertainty_ood_or_confidence,KLL
FT061,TA105,CR015,Anomaly Detection in Network Traffic via Cross-Domain Federated Graph Representation Learning,Yanli Zhao; Zongduo Liu; Junjie Pang,2025,10.3390/app15116258,https://doi.org/10.3390/app15116258,journal-article,Applied Sciences,include_for_full_text,,KLL,cross_dataset_or_domain_shift;deployment_adaptation_or_realism,KLL
FT062,TA106,IX005,Bayesian Neural Network Uncertainty Estimation for Detecting Adversarial Attacks on Network Intrusion Detection Systems,Kaustubh Bahl; Amit Praseed,2025,10.1109/ictest64710.2025.11042826,https://ieeexplore.ieee.org/document/11042826,proceedings-article,2025 2nd International Conference on Trends in Engineering Systems and Technologies (ICTEST),include_for_full_text,,KSS,calibration_uncertainty_ood_or_confidence,KSS
FT063,TA109,SL009,Neuro-Symbolic Integration for Open Set Recognition in Network Intrusion Detection,Bizzarri Alice; Yu Chung-En; Jalaian Brian; Riguzzi Fabrizio; Bastian Nathaniel D.,2025,10.1007/978-3-031-80607-0_5,https://link.springer.com/chapter/10.1007/978-3-031-80607-0_5,proceedings-article,International Conference of the Italian Association for Artificial Intelligence,include_for_full_text,,KLL,open_set_or_unseen_attack,KLL
FT064,TA110,GS096,[C]A comparative study of deep learning -based network intrusion detection system with explainable artificial intelligence.,"TJ Kai, LY Ong, MC Leow",2025,,,journal-article,International Journal of Electrical & Computer…,include_for_full_text,,KSS,deployment_adaptation_or_realism,KSS
FT065,TA111,IX015,A Big Data Framework for Scalable and Cross-Dataset Capable Machine Learning in Network Intrusion Detection Systems,Vinicius M. de Oliveira; Henrique M. de Oliveira; Gabriel M. Santos; Jhonatan Geremias; Eduardo K. Viegas,2025,10.1109/access.2025.3589872,https://ieeexplore.ieee.org/document/11082153,journal-article,IEEE Access,include_for_full_text,,KLL,cross_dataset_or_domain_shift,KLL
FT066,TA112,IX001,A Neuro-Symbolic Artificial Intelligence Network Intrusion Detection System,Alice Bizzarri; Brian Jalaian; Fabrizio Riguzzi; Nathaniel D. Bastian,2024,10.1109/icccn61486.2024.10637618,https://ieeexplore.ieee.org/document/10637618,proceedings-article,2024 33rd International Conference on Computer Communications and Networks (ICCCN),include_for_full_text,,KSS,open_set_or_unseen_attack,KSS
FT067,TA115,CR018,Overcoming emergency HTTP/3 DDoS attack detection: A domain adaptation solution with graph neural network,Jie Yao; Li Tian; Ziyi Wei; Guozi Sun,2025,10.1016/j.comnet.2025.111611,https://doi.org/10.1016/j.comnet.2025.111611,journal-article,Computer Networks,include_for_full_text,,KLL,cross_dataset_or_domain_shift;deployment_adaptation_or_realism,KLL
FT068,TA116,GS072,Copula entropy regularization transformer with C2 variational autoencoder and fine-tuned hybrid DL model for network intrusion detection,"S Akkepalli, K Sagar",2025,,https://www.sciencedirect.com/science/article/pii/S2772503024000689,journal-article,Telematics and Informatics Reports,include_for_full_text,,KSS,open_set_or_unseen_attack;deployment_adaptation_or_realism,KSS
FT069,TA124,GS008,OLIDA-IDS: Online learning with integrated domain adaptation for intrusion detection systems,"J Violos, C Krikas, P Sarantos…",2025,,https://ieeexplore.ieee.org/abstract/document/11431867/,journal-article,… 2025-,include_for_full_text,,KSS,cross_dataset_or_domain_shift;deployment_adaptation_or_realism,KSS
FT070,TA126,IX002,Adaptive Defense: Zero-Day Attack Detection in NIDS With Deep Reinforcement Learning,Khorshed Alam; Md Fahad Monir; Md Junayed Hossain; Mohammad Shorif Uddin; Md. Tarek Habib,2025,10.1109/access.2025.3585445,https://ieeexplore.ieee.org/document/11063272,journal-article,IEEE Access,include_for_full_text,,KSS,open_set_or_unseen_attack,KSS
FT071,TA129,SD001,Wasserstein distance guided feature Tokenizer transformer domain adaptation for network intrusion detection,Hongpo Zhang; Zhaozhe Zhang; Haizhaoyang Huang; Hehe Yang,2025,10.1016/j.cose.2025.104562,https://www.sciencedirect.com/science/article/pii/S0167404825002512,journal-article,Computers & Security,include_for_full_text,,KLL,cross_dataset_or_domain_shift,KLL
FT072,TA130,SD003,A sequential deep learning framework for a robust and resilient network intrusion detection system,Soumyadeep Hore; Jalal Ghadermazi; Ankit Shah; Nathaniel D. Bastian,2024,10.1016/j.cose.2024.103928,https://www.sciencedirect.com/science/article/pii/S0167404824002311,journal-article,Computers & Security,include_for_full_text,,KSS,open_set_or_unseen_attack;deployment_adaptation_or_realism,KSS
FT073,TA131,IX013,A Cross-Domain Intrusion Detection Method Based on Nonlinear Augmented Explicit Features,"Yu, Xu and Lu, Yan and Jiang, Feng and Hu, Qiang and Du, Junwei and Gong, Dunwei",2025,10.1109/tnsm.2024.3444909,https://doi.org/10.1109/TNSM.2024.3444909,journal-article,IEEE Transactions on Network and Service Management,include_for_full_text,,KLL,cross_dataset_or_domain_shift,KLL
FT074,TA133,CR033,Unknown intrusion traffic detection method based on unsupervised learning and open-set recognition,"Fang, Jun and Xie, Cunxiang",2025,10.1038/s41598-025-01084-1,https://doi.org/10.1038/s41598-025-01084-1,journal-article,Scientific Reports,include_for_full_text,,KLL,open_set_or_unseen_attack,KLL
FT075,TA134,GS025,Open -set recognition in unknown DDoS attacks detection with reciprocal points learning,"CS Shieh, FA Ho, MF Horng, TT Nguyen…",2024,,https://ieeexplore.ieee.org/abstract/document/10497567/,journal-article,IEEE…,include_for_full_text,,KSS,open_set_or_unseen_attack,KSS
